hotel_id,hotel_name,area,radius_km,theme,season,weather_flag,duration_min,slots,poi_order,drive_min_each,dwell_min_each,notes,mobility_alt,backup_course_id,last_verified,source_url
JH_MZ_001,중문 5성급 A,남,20,바다,all,clear,210,3,대포주상절리>정방폭포>카페 서귀해안,18|20|22,60|50|40,"유모차 일부 가능, 주차 유료",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,자연,spring,clear,210,3,천제연폭포>주상절리전망대>카페 중문,15|18|20,55|60|35,"계단 多, 우천시 대체 필요",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,카페,all,windy,200,3,카페 더애월>이호테우해변>한라수목원,25|20|25,60|40|45,강풍시 해안 체류 단축,택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,아이동반,all,rain,210,3,박물관은살아있다(중문)>플레이케이팝>카페,10|10|20,60|60|40,"유모차 OK, 주차 쉬움",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,오름,fall,clear,220,3,아부오름>사려니숲길(입구)>카페 남원,30|35|25,50|70|40,"경사도 주의, 노약자 주의",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,해변,summer,clear,210,3,협재해변>한림공원(야자수길)>카페 협재,20|10|10,70|60|40,"성수기 혼잡, 오전 권장",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,전시,all,rain,200,3,빛의벙커>성산항 카페>섭지코지 산책로(우천 대체: 아쿠아플라넷),25|15|15,60|45|45,우비/우산 권장,택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_001,중문 5성급 A,남,20,야경,all,evening,210,3,사라봉야경>동문시장>탑동해변 산책,20|10|10,40|60|60,"주차 혼잡, 현금 소액",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_002,중문 5성급 B,남,20,바다,all,clear,210,3,대포주상절리>정방폭포>카페 서귀해안,18|20|22,60|50|40,"유모차 일부 가능, 주차 유료",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
JH_MZ_002,중문 5성급 B,남,20,자연,spring,clear,210,3,천제연폭포>주상절리전망대>카페 중문,15|18|20,55|60|35,"계단 多, 우천시 대체 필요",택시정액권 문의|셔틀 여부 호텔 프론트 확인,,2025-10-30,
